importsequencenumber,ff_privilegetablefilednames,ff_rpatasklistid,statuscode,statecode,ff_name,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
0,"prvAppendToOrganization-3,prvReadOrganization-3,prvWriteOrganization-3,prvWriteOrganization-3,prvReadWorkflow-0,prvReadflowsession-0,prvReadAttribute-3",a30199e2-fb13-ed11-b83d-000d3a5a9ab6,Active,Active,Read (Execute) automations,0,0,3925292,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvExportCustomization-3,prvReadaaduser-3,prvReadChannelPropertyGroup-3,prvWriteChannelPropertyGroup-3,prvAppendChannelPropertyGroup-3,prvReadBusinessUnit-3,prvReadUserSettings-3,prvWriteUserSettings-3,prvCreateUserSettings-3,prvAppendUserSettings-3,prvAppendToUserSettings-3,prvReadEnvironmentVariableValue-3,prvWriteEnvironmentVariableValue-3,prvCreateEnvironmentVariableValue-3,prvAppendEnvironmentVariableValue-3,prvAppendToEnvironmentVariableValue-3,prvReadExportSolutionUpload-3,prvWriteExportSolutionUpload-3,prvCreateExportSolutionUpload-3,prvAppendExportSolutionUpload-3,prvAppendToExportSolutionUpload-3,prvReadConnectionRole-3,prvReadEmailTemplate-3,prvReadArticleTemplate-3,prvReadRole-3,prvReadQuery-3,prvReadEntityDataProvider-3,prvReadCustomization-3,prvReadLicense-3,prvReadPublisher-3,prvWritePublisher-3,prvCreatePublisher-3,prvAppendPublisher-3,prvAppendToPublisher-3,prvDeletePublisher-3,prvWriteEntity-3,prvWriteEntityKey-3,prvWriteEntityMap-3,prvReadEntity-3,prvReadEntityKey-3,prvReadEntityMap-3,prvReadAsyncOperation-3,prvReadRelationship-3,prvReadOrganization-3,prvWriteOrganization-3,prvReadUser-3,prvReadTeam-3,prvAppendToWorkflow-3,prvAppendWorkflow-3,prvCreateWorkflow-3,prvReadWorkflow-3,prvWriteWorkflow-3,prvDeleteWorkflow-3,prvShareWorkflow-3,prvReadSystemForm-3,prvReadAttribute-3",dd061928-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Export Solutions,0,0,3923034,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvAppendSolution-3,prvAppendToSolution-3,prvReadSolution-3,prvDeleteSolution-3,prvWriteSolution-3,prvReadmsdyn_solutioncomponentcountdatasource-3,prvWritemsdyn_solutioncomponentcountdatasource-3,prvCreatemsdyn_solutioncomponentcountdatasource-3,prvAppendmsdyn_solutioncomponentcountdatasource-3,prvAppendTomsdyn_solutioncomponentcountdatasource-3,prvDeletemsdyn_solutioncomponentcountdatasource-3,prvReadsolutioncomponentbatchconfiguration-3,prvWritesolutioncomponentbatchconfiguration-3,prvSharesolutioncomponentbatchconfiguration-3,prvAppendsolutioncomponentbatchconfiguration-3,prvAppendTosolutioncomponentbatchconfiguration-3,prvDeletesolutioncomponentbatchconfiguration-3,prvReadmsdyn_solutioncomponentcountsummary-3,prvAppendmsdyn_solutioncomponentcountsummary-3,prvAppendTomsdyn_solutioncomponentcountsummary-3,prvReadmsdyn_solutioncomponentsummary-3,prvAppendmsdyn_solutioncomponentsummary-3,prvAppendTomsdyn_solutioncomponentsummary-3,prvReadmsdyn_solutioncomponentdatasource-3,prvWritemsdyn_solutioncomponentdatasource-3,prvCreatemsdyn_solutioncomponentdatasource-3,prvAppendmsdyn_solutioncomponentdatasource-3,prvAppendTomsdyn_solutioncomponentdatasource-3,prvDeletemsdyn_solutioncomponentdatasource-3,prvReadmsdyn_solutionhealthrule-3,prvWritemsdyn_solutionhealthrule-3,prvCreatemsdyn_solutionhealthrule-3,prvAppendmsdyn_solutionhealthrule-3,prvAppendTomsdyn_solutionhealthrule-3,prvDeletemsdyn_solutionhealthrule-3,prvReadmsdyn_solutionhealthruleargument-3,prvWritemsdyn_solutionhealthruleargument-3,prvCreatemsdyn_solutionhealthruleargument-3,prvDeletemsdyn_solutionhealthruleargument-3,prvAppendmsdyn_solutionhealthruleargument-3,prvAppendTomsdyn_solutionhealthruleargument-3,prvReadmsdyn_solutionhealthruleset-3,prvWritemsdyn_solutionhealthruleset-3,prvCreatemsdyn_solutionhealthruleset-3,prvAppendmsdyn_solutionhealthruleset-3,prvAppendTomsdyn_solutionhealthruleset-3,prvDeletemsdyn_solutionhealthruleset-3,prvReadmsdyn_solutionhistory-3,prvAppendmsdyn_solutionhistory-3,prvAppendTomsdyn_solutionhistory-3,prvReadmsdyn_solutionhistorydatasource-3,prvWritemsdyn_solutionhistorydatasource-3,prvCreatemsdyn_solutionhistorydatasource-3,prvAppendmsdyn_solutionhistorydatasource-3,prvAppendTomsdyn_solutionhistorydatasource-3,prvDeletemsdyn_solutionhistorydatasource-3,prvReadStageSolutionUpload-3,prvWriteStageSolutionUpload-3,prvCreateStageSolutionUpload-3,prvAppendStageSolutionUpload-3,prvAppendToStageSolutionUpload-3,prvDeleteStageSolutionUpload-3,prvReadPublisher-3,prvWritePublisher-3,prvCreatePublisher-3,prvAppendPublisher-3,prvAppendToPublisher-3,prvDeletePublisher-3,prvReadAttribute-3",d91aa336-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Update/Upgrade a Solution,0,0,3915888,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvReadConnectionInstance-3,prvWriteConnectionInstance-3,prvAppendConnectionInstance-3,prvAppendToConnectionInstance-3,prvReadconnector-3,prvWriteconnector-3,prvAppendconnector-3,prvAppendToconnector-3,prvReadconnectionreference-3,prvWriteconnectionreference-3,prvAppendconnectionreference-3,prvAppendToconnectionreference-3,prvReadAttribute-3",4c87ff63-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Update a connection ,0,0,3915884,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvReadSystemApplicationMetadata-3,prvWriteSystemApplicationMetadata-3,prvDeleteSystemApplicationMetadata-3,prvAppendSystemApplicationMetadata-3,prvAppendToSystemApplicationMetadata-3,prvCreateSystemApplicationMetadata-3,prvReadAsyncOperation-3,prvWriteAsyncOperation-3,prvCreateAsyncOperation-3,prvDeleteAsyncOperation-3,prvAppendAsyncOperation-3,prvAppendToAsyncOperation-3,prvReadUserApplicationMetadata-0,prvWriteUserApplicationMetadata-0,prvCreateUserApplicationMetadata-0,prvDeleteUserApplicationMetadata-0,prvAppendUserApplicationMetadata-0,prvAppendToUserApplicationMetadata-0,prvReadAttribute-3",a60199e2-fb13-ed11-b83d-000d3a5a9ab6,Active,Active,Update /Delete automations,0,0,3915874,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvReadTeam-3,prvWriteTeam-3,prvCreateTeam-3,prvDeleteTeam-3,prvAppendTeam-3,prvAppendToTeam-3,prvReadAttribute-3
",6ff5ddfd-fb13-ed11-b83d-000d3a5a9ab6,Active,Active,Share Desktop Flows,0,0,3915870,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvAppendToflowsession-3,prvAssignflowsession-3,prvCreateflowsession-3,prvDeleteflowsession-3,prvReadflowsession-3,prvShareflowsession-3,prvWriteflowsession-3,prvAppendflowsession-3,prvReadEntity-3,prvReadEntityKey-3,prvReadEntityMap-3,prvReadAttribute-3,prvReadRelationship-3,prvAppendToWorkflow-0,prvAppendWorkflow-0,prvCreateWorkflow-0,prvReadWorkflow-0,prvWriteWorkflow-0,prvDeleteWorkflow-0,prvDeleteWorkflow-0,prvShareWorkflow-0,prvReadAttribute-3",a66eecfb-f913-ed11-b83d-000d3a5a9ab6,Active,Active,Monitor automation run logs (Organization Level),0,0,3915855,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvWriteflowmachinegroup-3,prvWriteflowmachine-3,prvCreateflowmachine-3,prvCreateflowmachinegroup-3,prvDeleteflowmachine-3,prvDeleteflowmachinegroup-3,prvReadflowmachine-3,prvReadflowmachinegroup-3,prvAppendflowmachinegroup-3,prvAppendToflowmachinegroup-3,prvReadflowmachineimage-3,prvWriteflowmachineimage-3,prvCreateflowmachineimage-3,prvDeleteflowmachineimage-3,prvAppendflowmachineimage-3,prvAppendToflowmachineimage-3,prvReadAttribute-3",28bc4dac-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Manage Machine Groups,0,0,3915851,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvCreateSolution-3,prvDeleteSolution-3,prvImportCustomization-3,prvReadPublisher-3,prvWritePublisher-3,prvCreatePublisher-3,prvAppendPublisher-3,prvAppendToPublisher-3,prvDeletePublisher-3,prvReadConnectionRole-3,prvReadEmailTemplate-3,prvReadArticleTemplate-3,prvReadSecurityRole-3,prvReadQuery-3,prvReadEntityDataProvider-3,prvReadCustomization-3,prvReadLicense-3,prvReadAttribute-3
",8000a021-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Import Solutions,0,0,3915844,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvAppendToWorkflow-0,prvAppendWorkflow-0,prvCreateWorkflow-0,prvReadWorkflow-0,prvWriteWorkflow-0,prvDeleteWorkflow-0,prvDeleteWorkflow-0,prvShareWorkflow-0,prvAppendToflowsession-0,prvAssignflowsession-0,prvCreateflowsession-0,prvDeleteflowsession-0,prvReadflowsession-0,prvShareflowsession-0,prvWriteflowsession-0,prvAppendflowsession-0,prvReadUser-3,prvReadmsdyn_crmconnection-3,prvWritemsdyn_crmconnection-3,prvCreatemsdyn_crmconnection-3,prvDeletemsdyn_crmconnection-3,prvAppendmsdyn_crmconnection-3,prvAppendTomsdyn_crmconnection-3,prvReadmsdyn_pmrecording-3,prvWritemsdyn_pmrecording-3,prvCreatemsdyn_pmrecording-3,prvAppendmsdyn_pmrecording-3,prvAppendTomsdyn_pmrecording-3,prvDeletemsdyn_pmrecording-3,prvReadaaduser-3,prvReadSolution-3,prvReadAttribute-3",ad8429dc-fb13-ed11-b83d-000d3a5a9ab6,Active,Active,Create automations,0,0,3915836,76cbd48b-e416-ed11-b83d-000d3a0a06c3
,"prvAppendToflowsession-0,prvAssignflowsession-0,prvCreateflowsession-0,prvDeleteflowsession-0,prvReadflowsession-0,prvShareflowsession-0,prvWriteflowsession-0,prvAppendflowsession-0,prvReadEntity-3,prvReadEntityKey-3,prvReadEntityMap-3,prvReadAttribute-3,prvReadRelationship-3,prvAppendToWorkflow-0,prvAppendWorkflow-0,prvCreateWorkflow-0,prvReadWorkflow-0,prvWriteWorkflow-0,prvDeleteWorkflow-0,prvDeleteWorkflow-0,prvShareWorkflow-0,prvReadAttribute-3",32f0bfc8-6b33-ed11-9db1-0022486dbe2f,Active,Active,Monitor automation run logs (User Level),,,3915828,76cbd48b-e416-ed11-b83d-000d3a0a06c3
,prvReadAttribute-3,33977a78-6534-ed11-9db1-0022486dbe2f,Active,Active,Field table test,,,3910667,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvReadConnectionInstance-3,prvWriteConnectionInstance-3,prvCreateConnectionInstance-3,prvAppendConnectionInstance-3,prvAppendToConnectionInstance-3,prvReadconnector-3,prvWriteconnector-3,prvCreateconnector-3,prvAppendconnector-3,prvAppendToconnector-3,prvReadconnectionreference-3,prvWriteconnectionreference-3,prvCreateconnectionreference-3,prvAppendconnectionreference-3,prvAppendToconnectionreference-3",b7b66156-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Create a connection,0,0,3886699,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvReadflowmachine-3,prvWriteflowmachine-3,prvDeleteflowmachine-3",d228db8b-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Remove a Machine,0,0,3883627,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,"prvReadflowmachine-3,prvWriteflowmachine-3,prvAppendflowmachine-3,prvAppendToflowmachine-3,prvCreateflowmachine-3",227a2c81-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Create a Machine,0,0,3883556,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,,07ff0878-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Manage Exceptions/Resubmissions,0,0,2562860,76cbd48b-e416-ed11-b83d-000d3a0a06c3
0,,40304fa5-fc13-ed11-b83d-000d3a5a9ab6,Active,Active,Register a Machine,0,0,2562840,76cbd48b-e416-ed11-b83d-000d3a0a06c3
